subject,variable,mean,std,var,min,max,sig_digits
0051456,cjv,0.7599469674488409,0.0024457840404056514,5.981859572302994e-06,0.75562303030303,0.7636638036809811,2.0656068352638095
0051456,cnr,1.0677935791647628,0.004266612438588014,1.820398170111396e-05,1.057758403557696,1.074971534606425,1.9716457656152964
0051456,efc,0.655652,5.099019513593502e-05,2.6000000000007313e-09,0.6556000000000001,0.6557000000000001,3.6824283720475575
0051456,fber,0.0,0.0,0.0,0.0,0.0,15.217937046761328
0051456,fwhm_avg,4.569926533333333,0.00011721490235203792,1.3739333333397783e-08,4.569696666666666,4.570113333333334,4.16416804397825
0051456,fwhm_x,4.5703028,0.00014811369506780058,2.1937666666637416e-08,4.56998,4.57064,4.062591413764404
0051456,fwhm_y,4.2890652,0.0001407456334434184,1.9809333333389093e-08,4.28891,4.28922,4.057169373925686
0051456,fwhm_z,4.8504116,0.00011305161063263183,1.2780666666632196e-08,4.8502,4.85052,4.20574349551304
0051456,icvs_csf,0.2604803731438665,0.0007486138848866235,5.604227486450428e-07,0.25854789448264803,0.26181661297942604,2.114758783147519
0051456,icvs_gm,0.35192326419812303,9.248925496279594e-05,8.554262283573072e-09,0.35167130474441705,0.352038953717054,3.153598351870945
0051456,icvs_wm,0.387596362658009,0.0007501061004973644,5.626591620033621e-07,0.386395527649647,0.38964124318181004,2.286498651011589
0051456,inu_med,0.426933943033218,0.0004401324860258784,1.9371660525532e-07,0.425993144512176,0.42751298844814306,2.560018915247126
0051456,inu_range,0.23806560236215538,0.0002963746737774337,8.783794725668025e-08,0.23747895359992902,0.23852383345365502,2.47809721632946
0051456,provenance,,,,,,15.217937046761328
0051456,qi_1,0.0,0.0,0.0,0.0,0.0,15.217937046761328
0051456,qi_2,0.00660367674524144,0.0008601815914231119,7.399123702231974e-07,0.005724517283496,0.008390708950482,0.4584373177293903
0051456,rpve_csf,6.6331405603689015,0.00042142386209172253,1.7759807154030317e-07,6.631939066397365,6.63371814108389,3.7702417332529787
0051456,rpve_gm,6.4906854888900805,0.0005571652403453516,3.104331050490934e-07,6.489291004975432,6.491792456290448,3.639548206852182
